iata,icao,noaa
DTW,KDTW,725370
ESC,KESC,726480
FNT,KFNT,726370
GDW,KGDW,
GLR,KGLR,725407
GRR,KGRR,726350
HAI,KHAI,720371
HLM,KHLM,
HTL,KHTL,726380
IMT,KIMT,727437
IRS,KIRS,725383
ISQ,KISQ,725408
IWD,KIWD,727445
JXN,KJXN,725395
LAN,KLAN,725390
LDM,KLDM,726364
MBL,KMBL,726385
MBS,KMBS,726379
MCD,KMCD,727435
MKG,KMKG,726360
MNM,KMNM,726487
MOP,KMOP,725424
MQT,KSAW,726284
MTC,KMTC,725377
OSC,KOSC,726395
PHN,KPHN,725384
PLN,KPLN,727347
PTK,KPTK,726375
RCT,KRCT,
TVC,KTVC,726387
TZC,KCFS,722007
WBR,KRQB,725416
AEL,KAEL,726589
AUM,KAUM,727566
AXN,KAXN,726557
BBB,KBBB,727507
BDE,KBDE,727476
BJI,KBJI,727550
BRD,KBRD,726555
CKN,KCKN,727452
DLH,KDLH,727450
DTL,KDTL,727457
EVM,KEVM,727474
FBL,KFBL,726563
FCM,KFCM,726579
FFM,KFFM,726572
FRM,KFRM,726586
GPZ,KGPZ,727458
GRM,KCKC,727454
HIB,KHIB,727455
ILL,KBDH,720386
INL,KINL,727470
LYU,KELO,727459
MIC,KMIC,726575
MJQ,KMJQ,726593
MKT,KMKT,726585
MML,KMML,726559
MOX,KMOX,726565
MSP,KMSP,726580
MVE,KMVE,726553
MWM,KMWM,727506
NSL,KDVP,720368
ONA,KONA,726588
OTG,KOTG,726587
OWA,KOWA,726568
PKD,KPKD,727453
ROX,KROX,727477
RRT,KRRT,726548
RST,KRST,726440
RWF,KRWF,726556
STC,KSTC,726550
STP,KSTP,726584
SYN,KSYN,722003
TVF,KTVF,727555
ULM,KULM,726567
BIX,KBIX,747686
CBM,KCBM,723306
CKM,KCKM,720927
CRX,KCRX,720924
DXE,KMBO,
GLH,KGLH,747680
GPT,KGPT,747570
GTR,KGTR,723307
GWO,KGWO,747580
HBG,KHBG,747590
HEZ,KHEZ,722357
HKS,KHKS,722354
JAN,KJAN,722350
LMS,KLMS,722344
LUL,KLUL,720776
MCB,KMCB,722358
MEI,KMEI,722340
MMS,KMMS,
OLV,KOLV,722165
OSX,KOSX,
PGL,KPQL,747688
PIB,KPIB,722348
TUP,KTUP,723320
UBS,KUBS,
UOX,KUOX,720541
UTM,KUTA,722364
VKS,KVKS,722355
AIZ,KAIZ,724459
BKG,KBBG,720616
BUM,KBUM,
CGI,KCGI,723290
COU,KCOU,724450
DMO,KDMO,724453
EOS,KEOS,
FAM,KFAM,724454
IRK,KIRK,724455
JEF,KJEF,724458
JLN,KJLN,723495
KNK,PFKK,
KNT,KTKX,720331
MAW,KMAW,720481
MAW,KMAW,720481
MBY,KMBY,720482
MCI,KMCI,724460
MHL,KMHL,720483
MKC,KMKC,724463
NVD,KNVD,
PLK,KPLK,
POF,KPOF,723300
SGF,KSGF,724400
SIK,KSIK,720488
STJ,KSTJ,724490
STL,KSTL,724340
SUS,KSUS,724345
SZL,KSZL,724467
TBN,KTBN,724457
TRX,KTRX,
VIH,KVIH,724420
BIL,KBIL,726770
BTM,KBTM,727740
BZN,KBZN,726797
CTB,KCTB,727690
DLN,KDLN,727700
FCA,KGPI,727790
GDV,KGDV,726676
GGW,KGGW,727680
GTF,KGTF,727750
HLN,KHLN,727720
HVR,KHVR,727770
JDN,KJDN,727684
LVM,KLVM,726798
LWT,KLWT,726776
MLS,KMLS,742300
MSO,KMSO,727730
OLF,KOLF,727686
PWD,KPWD,
RPX,KRPX,
SBX,KSBX,
SDY,KSDY,727687
THM,KTHM,
WYS,KWYS,726764
AIA,KAIA,725635
ANW,KANW,725556
BBW,KBBW,725555
BFF,KBFF,725660
BIE,KBIE,725515
BUB,KBUB,
CDR,KCDR,725636
EAR,KEAR,725526
FBY,KFBY,
FET,KFET,725564
GRI,KGRI,725520
GRN,KGRN,725637
HDE,KHDE,725628
HSI,KHSI,725525
IML,KIML,725626
LBF,KLBF,725620
LNK,KLNK,725510
LXN,KLXN,725624
MCK,KMCK,725625
MHN,KMHN,
MIQ,KMLE,720308
OFF,KOFF,725540
OFK,KOFK,725560
OGA,KOGA,725621
OKS,KOKS,
OLU,KOLU,725565
ONL,KONL,725566
SCB,KSCB,
SNY,KSNY,725610
VTN,KVTN,725670
BAM,KBAM,725835
BTY,KBTY,
CSN,KCXP,720549
DRA,KDRA,723870
EKO,KEKO,725825
ELY,KELY,724860
FLX,KFLX,
GAB,KGAB,
HSH,KHND,722096
HTH,KHTH,724856
INS,KINS,746141
LAS,KLAS,723860
LOL,KLOL,725805
LSV,KLSV,746140
LWL,KLWL,
MEV,KMEV,720551
NFL,KNFL,724885
RNO,KRNO,724880
TPH,KTPH,724855
UCC,KUCC,
VGT,KVGT,724846
WMC,KWMC,725830
XSD,KTNX,
AFN,KAFN,726163
ASH,KASH,743946
BML,KBML,726160
CNH,KCNH,
CON,KCON,726050
EEN,KEEN,726165
ERR,KERR,
HIE,KHIE,726164
LCI,KLCI,726155
LEB,KLEB,726116
MHT,KMHT,743945
PSM,KPSM,726055
ACY,KACY,724070
BLM,KBLM,724084
CDW,KCDW,724094
EWR,KEWR,725020
LDJ,KLDJ,720581
LLY,KVAY,724074
MIV,KMIV,724075
MJX,KMJX,720407
MMU,KMMU,724097
NEL,KNEL,724090
TEB,KTEB,725025
TTN,KTTN,724095
WRI,KWRI,724096
WWD,KWWD,745966
ABQ,KABQ,723650
ALM,KALM,722693
ATS,KATS,722676
AXX,KAXX,720411
CAO,KCAO,723600
CNM,KCNM,722687
CVN,KCVN,722689
CVS,KCVS,722686
DMN,KDMN,722725
FMN,KFMN,723658
FSU,KFSU,
GNT,KGNT,723625
GUP,KGUP,723627
HMN,KHMN,747320
HOB,KHOB,722688
LAM,KLAM,723654
LRU,KLRU,722695
LSB,KLSB,720976
LVS,KLVS,723677
ONM,KONM,723620
ROW,KROW,722680
RTN,KRTN,722678
RUI,KSRR,722683
SAF,KSAF,723656
SVC,KSVC,722721
TCC,KTCC,723676
TCS,KTCS,722710
TSM,KSKX,723663
WSD,KWSD,
ALB,KALB,725180
ART,KART,726227
BGM,KBGM,725150
BUF,KBUF,725280
DKK,KDKK,744989
DSV,KDSV,724988
ELM,KELM,725156
ELZ,KELZ,725157
FOK,KFOK,744865
FRG,KFRG,744864
GFL,KGFL,725220
HPN,KHPN,725037
HTO,KHTO,722098
IAG,KIAG,725287
ISP,KISP,725050
ITH,KITH,725155
JFK,KJFK,744860
JHW,KJHW,725235
LGA,KLGA,725030
LKP,KLKP,
MGJ,KMGJ,725015
MSS,KMSS,726223
MSV,KMSV,725145
MTP,KMTP,725014
OGS,KOGS,725186
OIC,KOIC,
OLE,KOLE,725283
PBG,KPBG,726225
POU,KPOU,725036
RME,KRME,725196
ROC,KROC,725290
SCH,KSCH,744994
SLK,KSLK,726228
SWF,KSWF,725038
SYR,KSYR,725190
WSH,KHWV,725016
AVL,KAVL,723150
CLT,KCLT,723140
CTZ,KCTZ,722073
ECG,KECG,723070
EDE,KEDE,723074
EWN,KEWN,723095
FAY,KFAY,723035
FBG,KFBG,746930
FFA,KFFA,720282
GSB,KGSB,723066
GSO,KGSO,723170
HFF,KHFF,723034
HKY,KHKY,723010
HNC,KHSE,723139
IKB,KUKF,723165
ILM,KILM,723020
INT,KINT,723193
ISO,KISO,723067
LBT,KLBT,723108
LFN,KLHZ,722141
MEO,KMQI,723046
MRN,KMRN,723148
MXE,KMEB,723109
OAJ,KOAJ,723069
OCW,KOCW,746925
PGV,KPGV,723065
POB,KPOB,723030
RDU,KRDU,723060
RWI,KRWI,723068
RZZ,KRZZ,
SOP,KSOP,723143
SRW,KRUQ,723156
SVH,KSVH,723055
USA,KJQF,722132
ASY,KASY,
BIS,KBIS,727640
BWM,KBPP,
DIK,KDIK,727630
DVL,KDVL,727573
FAR,KFAR,727530
GFK,KGFK,727570
ISN,KISN,727670
JMS,KJMS,727535
MIB,KMIB,727675
MOT,KMOT,727676
PMB,KPMB,
RDR,KRDR,727575
WAH,KBWP,722004
XWA,KXWA,
AKC,KAKR,724303
AOH,KAOH,724298
ATO,KUNI,720397
AXV,KAXV,
BJJ,KBJJ,725216
BKL,KBKL,725245
CAK,KCAK,725210
CGF,KCGF,725247
CLE,KCLE,725240
CMH,KCMH,724280
DAY,KDAY,724290
DFI,KDFI,725254
FDY,KFDY,725366
FFO,KFFO,745700
GQQ,KGQQ,
HAO,KHAO,725217
HTW,KHTW,
ILN,KILN,724296
JFN,KHZY,725256
LCK,KLCK,724285
LNN,KLNN,725244
LNN,KLNN,725244
LUK,KLUK,724297
MFD,KMFD,724200
MGY,KMGY,724276
MNN,KMNN,725208
MWO,KMWO,722249
OSU,KOSU,724288
OXD,KOXD,
PHD,KPHD,725224
PMH,KPMH,
SGH,KSGH,724295
SKY,KSKY,
TDZ,KTDZ,724287
TOL,KTOL,725360
YNG,KYNG,725250
ZZV,KZZV,724286
ADM,KADM,723555
ADT,KADH,722044
AXS,KAXS,720354
BVO,KBVO,723565
BWL,KBKN,720625
CHK,KCHK,722071
CKA,KCKA,
CLK,KCLK,720356
CSM,KCSM,723526
CUH,KCUH,720357
DUA,KDUA,742513
DUC,KDUC,722078
ELK,KELK,720558
END,KEND,723535
FDR,KFDR,723528
FSI,KFSI,723550
GAG,KGAG,746410
GOK,KGOK,723537
GUY,KGUY,722095
HBR,KHBR,723525
HUJ,KHHW,720559
LAW,KLAW,723575
LTS,KLTS,723520
MIO,KMIO,720255
MKO,KMKO,723556
MLC,KMLC,723566
OKC,KOKC,723530
OKM,KOKM,722164
OUN,KOUN,723570
PNC,KPNC,724530
PWA,KPWA,723544
RKR,KRKR,722178
RVS,KRVS,723564
SNL,KSNL,722187
SUD,KSUD,
SWO,KSWO,723545
TIK,KTIK,723540
TUL,KTUL,723560
WDG,KWDG,723536
WWR,KWWR,722152
AST,KAST,727910
BKE,KBKE,726886
BNO,KBNO,726830
BOK,KBOK,720365
BOK,KBOK,725985
CVO,KCVO,726945
CZK,KCZK,
DLS,KDLS,726988
EUG,KEUG,726930
HES,KHRI,726883
HIO,KHIO,726986
JDA,KGCD,726876
LGD,KLGD,726884
LKV,KLKV,725976
LMT,KLMT,725895
MFR,KMFR,725970
ONO,KONO,726837
ONP,KONP,726950
OTH,KOTH,726917
OTK,KTMK,720202
PDT,KPDT,726880
PDX,KPDX,726980
PFC,KPFC,
RBG,KRBG,726904
RDM,KRDM,726920
REO,KREO,726875
SLE,KSLE,726940
TTD,KTTD,726985
ABE,KABE,725170
AGC,KAGC,725205
AOO,KAOO,725126
AVP,KAVP,725130
BBX,KLOM,720304
BFD,KBFD,725266
BFP,KBVI,725204
BTP,KBTP,725124
CTH,KMQS,720408
DUJ,KDUJ,725125
DYL,KDYL,725113
ERI,KERI,725260
FKL,KFKL,725267
HAR,KCXY,725118
HZL,KHZL,
IDI,KIDI,725175
IPT,KIPT,725140
JST,KJST,725127
LBE,KLBE,725207
LHV,KLHV,
LNS,KLNS,725116
MDT,KMDT,723990
MEJ,KGKJ,725104
MPO,KMPO,725434
MUI,KMUI,725144
PHL,KPHL,724080
PIT,KPIT,725200
PNE,KPNE,724085
PSB,KPSB,
PTW,KPTW,725109
RDG,KRDG,725103
RED,KRVL,725203
SCE,KUNV,725128
SEG,KSEG,725105
STQ,KOYM,
THV,KTHV,725114
UKT,KUKT,720324
WAY,KWAY,
WBW,KWBW,
WSG,KAFJ,725117
BID,KBID,725058
NCO,KOQU,725074
NPT,KUUU,725079
PVD,KPVD,725070
SFZ,KSFZ,725054
WST,KWST,722151
AIK,KAIK,720601
AND,KAND,723190
BFT,KARW,720612
BNL,KBNL,720602
BTN,KBBP,720631
CAE,KCAE,723100
CDN,KCDN,720603
CEU,KCEU,723118
CHS,KCHS,722080
CRE,KCRE,747915
CUB,KCUB,723104
DLL,KDLC,
FLO,KFLO,723106
GDC,KGYH,723122
GGE,KGGE,747918
GMU,KGMU,723119
GRD,KGRD,723124
GSP,KGSP,723120
HCW,KCQW,720605
HHH,KHXD,720120
HVS,KHVS,720633
MMT,KMMT,723105
MYR,KMYR,747910
OGB,KOGB,723115
RBW,KRBW,720609
RKH,KUZA,723117
SSC,KSSC,747900
ABR,KABR,726590
ATY,KATY,726546
BKX,KBKX,726515
FSD,KFSD,726510
HON,KHON,726540
LEM,KLEM,
LQK,KLQK,720744
MBG,KMBG,726685
MHE,KMHE,726545
PHP,KPHP,726516
PIR,KPIR,726560
RAP,KRAP,726620
RCA,KRCA,726625
SPF,KSPF,726605
TTO,KBTN,720511
XMD,KMDS,720624
XPR,KIEN,726517
YKN,KYKN,726525
APT,KAPT,
BNA,KBNA,723270
CHA,KCHA,723240
CKV,KCKV,723280
CSV,KCSV,723250
FYM,KFYM,
GCY,KGCY,
GHM,KGHM,
GKT,KGKT,
MEM,KMEM,723340
MKL,KMKL,723346
MMI,KMMI,
MOR,KMOR,
MQY,KMQY,723273
MRC,KMRC,723249
NQA,KNQA,723284
PHT,KPHT,722781
RKW,KRKW,
RNC,KRNC,
SYI,KSYI,
THA,KTHA,721031
TRI,KTRI,723350
TYS,KTYS,723260
UCY,KUCY,A00029
UOS,KUOS,
ABI,KABI,722660
ACT,KACT,722560
ADS,KADS,722598
AFW,KAFW,722594
ALI,KALI,722517
AMA,KAMA,723630
ASL,KASL,720943
AUS,KAUS,722540
BBC,KBYY,720273
BBD,KBBD,723628
BGD,KBGD,723635
BIF,KBIF,722704
BKD,KBKD,720578
BMT,KBMT,720926
BPT,KBPT,722410
BRO,KBRO,722500
BWD,KBWD,722666
CDS,KCDS,723660
CFD,KCFD,
CLL,KCLL,747460
CNW,KCNW,722561
COM,KCOM,720771
COT,KCOT,722526
CRP,KCRP,722510
CRS,KCRS,722469
CXO,KCXO,722444
CZT,KCZT,
DAL,KDAL,722580
DFW,KDFW,722590
DHT,KDHT,747360
DLF,KDLF,722615
DRT,KDRT,722610
DWH,KDWH,722429
DYS,KDYS,720965
EFD,KEFD,722436
ELA,KELA,
ELP,KELP,722700
ERV,KERV,722537
ETN,KETN,
FST,KFST,722618
FTW,KFTW,747390
FWH,KNFW,722595
GGG,KGGG,722470
GLE,KGLE,722552
GLS,KGLS,722420
GRK,KGRK,722576
GVT,KGVT,722588
HCA,KBPG,720271
HLR,KHLR,722570
HOU,KHOU,722440
HPY,KHPY,
HRL,KHRL,722505
HTV,KUTS,722447
IAH,KIAH,722430
ILE,KILE,722575
INK,KINK,722656
IWS,KIWS,
JAS,KJAS,720296
JCT,KJCT,747400
JKV,KJSO,720298
KIP,KCWC,720404
LBB,KLBB,722670
LFK,KLFK,722446
LJN,KLBX,722527
LRD,KLRD,722520
MAF,KMAF,722650
MDD,KMDD,722324
MFE,KMFE,722506
MPS,KOSA,720311
MRF,KMRF,722640
MWL,KMWL,722597
NGP,KNGP,722515
NGW,KNGW,999999
NQI,KNQI,722516
OCH,KOCH,722499
ONY,KONY,
OZA,KOZA,720659
PEQ,KPEQ,722169
PNX,KGYI,720287
PPA,KPPA,720313
PRX,KPRX,722587
PSN,KPSN,720314
PSX,KPSX,722555
PVW,KPVW,722174
RBD,KRBD,722599
RCK,KRCK,
RFG,KRFG,
RKP,KRKP,722524
RND,KRND,722536
SAT,KSAT,722530
SEP,KSEP,722600
SGR,KSGR,722543
SJT,KSJT,722630
SKF,KSKF,722535
SLR,KSLR,722362
SNK,KSNK,722122
SPS,KSPS,723510
SSF,KSSF,722523
SWW,KSWW,722192
TDW,KTDW,
TPL,KTPL,722577
TRL,KTRL,722489
TYR,KTYR,722448
UVA,KUVA,722202
VCT,KVCT,722550
VHN,KVHN,
WEA,KWEA,
WHT,KARM,722351
BCE,KBCE,724756
BDG,KBDG,A00016
BMC,KBMC,720567
BTF,KBTF,
CDC,KCDC,724755
CNY,KCNY,724776
DPG,KDPG,740030
DTA,KDTA,A00018
ENV,KENV,725810
FIL,KFOM,720568
HIF,KHIF,725755
HVE,KHVE,724733
KNB,KKNB,720569
LGU,KLGU,724796
MLF,KMLF,724750
MLF,KMLF,724797
OGD,KOGD,725750
PUC,KPUC,724700
PVU,KPVU,725724
RIF,KRIF,
SGU,KSGU,724754
SLC,KSLC,725720
VEL,KVEL,725705
BTV,KBTV,726170
EFK,KEFK,720493
LLX,KCDA,720492
MPV,KMPV,726145
MVL,KMVL,726114
RUT,KRUT,725165
VSF,KVSF,726115
APH,KAPH,
BCB,KBCB,724113
BKT,KBKT,724015
CHO,KCHO,724016
DAA,KDAA,724037
DAN,KDAN,724106
DCA,KDCA,724050
DGN,KNDY,
FAF,KFAF,723087
FKN,KFKN,723083
FRR,KFRR,
GVE,KGVE,
HSP,KHSP,724115
IAD,KIAD,724030
LFI,KLFI,745980
LNP,KLNP,724117
LOW,KLKU,723114
LVL,KLVL,720777
LYH,KLYH,724100
MFV,KMFV,724026
MNZ,KHEF,724036
NGU,KNGU,723085
NTU,KNTU,723075
NYG,KNYG,724035
ORF,KORF,723080
PHF,KPHF,723086
PSK,KPSK,724116
PTB,KPTB,724014
RIC,KRIC,724010
ROA,KROA,724110
SHD,KSHD,724105
VJI,KVJI,724058
WAL,KWAL,724020
WGO,KOKV,724053
ALW,KALW,727846
BFI,KBFI,727935
BLI,KBLI,727976
CLM,KCLM,727885
CLS,KCLS,720254
EAT,KEAT,727825
ELN,KELN,727883
EPH,KEPH,727900
ESD,KORS,722208
ESW,KESW,
FRD,KFHR,727985
GEG,KGEG,727850
GRF,KGRF,742071
HQM,KHQM,727923
KLS,KKLS,727924
MVW,KBVS,720272
MWH,KMWH,727827
NUW,KNUW,720749
ODW,KOKH,
OLM,KOLM,727920
OMK,KOMK,727890
PAE,KPAE,727937
PSC,KPSC,727845
PUW,KPUW,727857
PWT,KPWT,727928
RLD,KRLD,727884
RNT,KRNT,727934
SEA,KSEA,727930
SFF,KSFF,727856
SHN,KSHN,727925
SKA,KSKA,727855
TCM,KTCM,742060
TDO,KTDO,
TIW,KTIW,727938
UIL,KUIL,727970
YKM,KYKM,727810
BKW,KBKW,724120
BLF,KBLF,724125
CKB,KCKB,724175
CRW,KCRW,724140
EKN,KEKN,724170
HLG,KHLG,724275
HTS,KHTS,724250
LWB,KLWB,724127
MGW,KMGW,724176
MRB,KMRB,724177
PKB,KPKB,724273
AHH,KAHH,
ARV,KARV,726404
ASX,KASX,726419
ATW,KATW,726457
AUW,KAUW,726463
CLI,KCLI,726502
CMY,KCMY,726437
CWA,KCWA,726465
EAU,KEAU,726435
EGV,KEGV,726504
ENW,KENW,726505
ETB,KETB,726413
FLD,KFLD,726506
GRB,KGRB,726450
GTG,KGTG,
HYR,KHYR,726508
ISW,KISW,726452
JVL,KJVL,726415
LNR,KLNR,726416
LSE,KLSE,726430
MDF,KMDZ,726417
MFI,KMFI,726574
MKE,KMKE,726400
MSN,KMSN,726410
MTW,KMTW,726455
MWC,KMWC,726405
OEO,KOEO,726418
OSH,KOSH,726456
PCD,KPDC,726444
PKF,KPKF,
RAC,KRAC,726424
RHI,KRHI,727415
RIE,KRPD,726467
RNH,KRNH,722179
RRL,KRRL,726449
SBM,KSBM,726425
STE,KSTE,726426
SUE,KSUE,726458
SUW,KSUW,726427
UES,KUES,726409
UNU,KUNU,726509
VOK,KVOK,726436
AFO,KAFO,720516
BPI,KBPI,726710
BYG,KBYG,726654
COD,KCOD,726700
CPR,KCPR,725690
CYS,KCYS,725640
DGW,KDGW,725686
EAN,KEAN,720684
ECS,KECS,
EMM,KEMM,720517
EVW,KEVW,725775
FBR,KFBR,720518
GCC,KGCC,726650
GEY,KGEY,726667
JAC,KJAC,725776
LAR,KLAR,725645
LND,KLND,725760
LSK,KLSK,
POY,KPOY,720519
PWY,KPNA,720345
RIW,KRIW,726720
RKS,KRKS,725744
RWL,KRWL,726690
SAA,KSAA,720521
SHR,KSHR,726660
THP,KTHP,
TOR,KTOR,725763
WRL,KWRL,726665
